host_is_superhost,cancellation_policy,instant_bookable,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price
f,moderate,f,3,Haight Ashbury,37.77128,-122.44823,Condominium,Entire home/apt,8,2,4,5,Real Bed,30,96,92.0,10.0,9.0,10.0,10.0,9.0,9.0,400.0
t,moderate,t,2,Western Addition,37.77779,-122.43775,Apartment,Private room,2,1,1,1,Pull-out Sofa,2,328,97.0,10.0,10.0,10.0,10.0,10.0,10.0,90.0
t,strict_14_with_grace_period,t,1,Potrero Hill,37.76135,-122.39474,Apartment,Private room,2,2,1,1,Real Bed,3,45,97.0,10.0,9.0,10.0,10.0,10.0,9.0,145.0
t,strict_14_with_grace_period,t,1,Inner Richmond,37.78369,-122.46976,Apartment,Entire home/apt,2,1,1,1,Real Bed,5,42,91.0,10.0,10.0,10.0,10.0,9.0,9.0,145.0
f,moderate,f,3,Western Addition,37.78558,-122.44414,Condominium,Entire home/apt,5,2,3,3,Real Bed,4,141,88.0,9.0,9.0,9.0,9.0,9.0,9.0,389.0
f,moderate,f,3,Outer Mission,37.73403,-122.44662,House,Private room,1,1,1,1,Real Bed,30,7,91.0,9.0,10.0,10.0,9.0,8.0,9.0,50.0
f,moderate,t,2,Outer Sunset,3.77573,-122.48483,House,Private room,1,1,1,1,Futon,30,38,96.0,10.0,9.0,10.0,10.0,9.0,9.0,47.0
f,strict_14_with_grace_period,f,2,Pacific Heights,37.79006,-122.43236,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,123,98.0,10.0,10.0,10.0,10.0,10.0,10.0,180.0
t,strict_14_with_grace_period,f,1,Western Addition,37.77146,-122.43648,House,Entire home/apt,2,1,1,1,Real Bed,30,12,98.0,10.0,10.0,10.0,10.0,10.0,10.0,155.0
t,strict_14_with_grace_period,t,1,Mission,37.75084,-122.42341,Guest suite,Entire home/apt,2,1,1,1,Real Bed,2,261,94.0,10.0,10.0,10.0,10.0,10.0,9.0,145.0
t,strict_14_with_grace_period,f,2,South of Market,37.77782,-122.40406,Loft,Private room,2,1,1,1,Real Bed,2,162,98.0,10.0,10.0,10.0,10.0,9.0,10.0,159.0
t,strict_14_with_grace_period,t,2,Marina,37.79918,-122.43884,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,55,100.0,10.0,10.0,10.0,10.0,10.0,10.0,329.0
f,moderate,f,2,South of Market,37.77941,-122.40508,House,Private room,1,1,1,1,Real Bed,30,43,93.0,9.0,9.0,10.0,10.0,9.0,9.0,67.0
f,moderate,t,1,Mission,37.75526,-122.42497,Apartment,Entire home/apt,1,1,0,1,Real Bed,30,42,94.0,10.0,9.0,10.0,10.0,10.0,9.0,125.0
f,strict_14_with_grace_period,f,3,Mission,37.75398,-122.42171,Apartment,Entire home/apt,8,2,3,5,Real Bed,5,15,91.0,9.0,9.0,9.0,10.0,9.0,9.0,500.0
t,strict_14_with_grace_period,f,2,West of Twin Peaks,37.73313,-122.46054,House,Private room,4,1,2,3,Real Bed,3,207,97.0,10.0,10.0,10.0,10.0,10.0,10.0,129.0
t,strict_14_with_grace_period,f,2,Inner Sunset,37.75238,-122.45867,House,Private room,7,1,1,3,Real Bed,1,517,97.0,10.0,9.0,10.0,10.0,9.0,10.0,99.0
f,strict_14_with_grace_period,f,1,Bernal Heights,37.74727,-122.41517,Townhouse,Entire home/apt,6,1,3,4,Real Bed,5,15,94.0,9.0,9.0,10.0,10.0,9.0,9.0,250.0
f,strict_14_with_grace_period,f,1,Outer Richmond,37.77363,-122.49017,House,Entire home/apt,8,2,3,5,Real Bed,4,7,100.0,10.0,10.0,10.0,10.0,9.0,9.0,350.0
t,strict_14_with_grace_period,f,2,Potrero Hill,37.76244,-12.23946,House,Entire home/apt,6,2,3,3,Real Bed,2,62,97.0,10.0,9.0,10.0,10.0,10.0,9.0,500.0
f,strict_14_with_grace_period,t,1,Castro/Upper Market,37.76361,-122.43063,Apartment,Entire home/apt,2,1,0,1,Real Bed,30,197,96.0,10.0,10.0,10.0,10.0,10.0,9.0,160.0
t,strict_14_with_grace_period,f,2,South of Market,37.77687,-122.40916,Loft,Entire home/apt,4,2,2,2,Real Bed,30,55,97.0,10.0,10.0,10.0,10.0,9.0,9.0,185.0
t,moderate,t,6,Mission,37.77009,-122.42341,Apartment,Entire home/apt,2,1,0,1,Real Bed,2,140,100.0,10.0,10.0,10.0,10.0,10.0,10.0,90.0
t,strict_14_with_grace_period,f,1,Castro/Upper Market,3.77665,-122.43606,Guest suite,Entire home/apt,2,1,1,1,Real Bed,3,385,97.0,10.0,10.0,10.0,10.0,10.0,10.0,135.0
t,strict_14_with_grace_period,f,2,West of Twin Peaks,37.73313,-122.46093,House,Private room,2,1,1,1,Real Bed,3,169,98.0,10.0,10.0,10.0,10.0,10.0,10.0,129.0
f,moderate,f,2,Noe Valley,37.74901,-122.43293,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,31,96.0,9.0,10.0,10.0,10.0,10.0,9.0,199.0
t,strict_14_with_grace_period,f,3,Castro/Upper Market,37.76033,-122.43893,Apartment,Private room,1,1,1,1,Real Bed,30,18,100.0,10.0,10.0,10.0,10.0,10.0,10.0,89.0
f,strict_14_with_grace_period,f,44,Mission,37.76054,-122.40961,Loft,Entire home/apt,2,1,1,1,Real Bed,30,12,90.0,10.0,10.0,9.0,10.0,10.0,8.0,142.0
f,strict_14_with_grace_period,f,1,Marina,37.80375,-122.44672,House,Entire home/apt,2,1,1,1,Real Bed,3,5,100.0,10.0,10.0,10.0,10.0,10.0,9.0,700.0
t,moderate,t,1,Castro/Upper Market,37.75867,-122.43454,Apartment,Entire home/apt,2,1,1,2,Real Bed,30,126,98.0,10.0,10.0,10.0,10.0,10.0,10.0,175.0
t,strict_14_with_grace_period,f,2,Castro/Upper Market,37.76494,-122.43385,Apartment,Private room,2,1,1,1,Real Bed,3,118,98.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0
t,strict_14_with_grace_period,f,1,Inner Sunset,37.76409,-122.45292,Apartment,Private room,1,1,1,1,Real Bed,2,86,92.0,9.0,9.0,10.0,10.0,10.0,9.0,165.0
t,moderate,f,2,Noe Valley,37.74703,-122.43494,House,Private room,2,1,1,1,Real Bed,3,77,97.0,10.0,10.0,10.0,10.0,9.0,9.0,274.0
t,strict_14_with_grace_period,t,6,Presidio Heights,3.77833,-122.45765,Guest suite,Entire home/apt,3,1,2,2,Real Bed,3,45,99.0,10.0,10.0,10.0,10.0,10.0,10.0,189.0
t,moderate,f,41,Downtown/Civic Center,37.77703,-122.42055,Condominium,Entire home/apt,2,1,1,1,Real Bed,30,18,100.0,10.0,10.0,10.0,10.0,10.0,9.0,141.0
f,flexible,f,7,Haight Ashbury,37.76906,-122.44509,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,6,87.0,9.0,9.0,9.0,8.0,9.0,9.0,157.0
t,strict_14_with_grace_period,f,6,Bayview,37.73404,-122.39215,House,Private room,1,1,1,1,Real Bed,1,45,96.0,10.0,9.0,10.0,10.0,8.0,9.0,60.0
f,strict_14_with_grace_period,f,4,Bernal Heights,37.74504,-122.40614,House,Entire home/apt,5,1,3,4,Real Bed,6,49,95.0,10.0,10.0,10.0,10.0,9.0,9.0,259.0
t,strict_14_with_grace_period,f,2,Western Addition,37.77895,-122.43634,Condominium,Entire home/apt,5,2,3,3,Real Bed,3,47,99.0,10.0,10.0,10.0,10.0,10.0,9.0,575.0
f,moderate,f,2,Inner Richmond,37.77878,-122.46257,Guest suite,Entire home/apt,6,1,1,3,Real Bed,2,176,86.0,9.0,9.0,10.0,10.0,10.0,9.0,170.0
f,strict_14_with_grace_period,f,11,Financial District,0.37787,-12.23971,Serviced apartment,Entire home/apt,2,1,1,1,Real Bed,30,3,100.0,10.0,10.0,9.0,10.0,10.0,8.0,173.0
f,strict_14_with_grace_period,f,1,Western Addition,37.78718,-122.44315,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,23,96.0,10.0,10.0,10.0,10.0,10.0,10.0,89.0
t,moderate,f,2,Crocker Amazon,37.71099,-122.43569,Guest suite,Entire home/apt,2,1,1,2,Real Bed,3,148,98.0,10.0,10.0,10.0,10.0,9.0,10.0,88.0
t,moderate,t,1,Western Addition,37.77042,-122.42856,Apartment,Private room,3,1,2,2,Real Bed,3,383,98.0,10.0,10.0,10.0,10.0,10.0,10.0,125.0
t,strict_14_with_grace_period,f,68,Downtown/Civic Center,37.78712,-12.24096,Hostel,Private room,4,1,0,2,Real Bed,1,101,97.0,10.0,10.0,10.0,10.0,10.0,10.0,175.0
t,moderate,f,1,Outer Richmond,3.77719,-122.50372,House,Private room,2,1,1,1,Real Bed,2,188,98.0,10.0,10.0,10.0,10.0,9.0,10.0,85.0
t,strict_14_with_grace_period,f,1,Haight Ashbury,37.76785,-122.44902,Apartment,Entire home/apt,4,1,1,2,Real Bed,3,160,99.0,10.0,10.0,10.0,10.0,10.0,10.0,265.0
f,moderate,f,1,Marina,37.79899,-12.24316,Condominium,Entire home/apt,4,2,2,2,Real Bed,30,49,98.0,10.0,10.0,10.0,10.0,10.0,9.0,345.0
t,moderate,t,1,Bernal Heights,37.73704,-1.22417,Apartment,Entire home/apt,4,1,2,2,Real Bed,4,109,96.0,10.0,10.0,10.0,10.0,10.0,9.0,199.0
t,strict_14_with_grace_period,f,68,Downtown/Civic Center,37.78839,-122.40937,Hotel,Private room,4,1,0,2,Real Bed,2,65,95.0,10.0,10.0,10.0,10.0,10.0,10.0,179.0
t,moderate,f,2,Downtown/Civic Center,37.77795,-122.42178,House,Entire home/apt,2,1,1,1,Real Bed,30,144,99.0,10.0,10.0,10.0,10.0,10.0,10.0,250.0
t,moderate,t,1,Bernal Heights,37.74669,-122.40586,Guest suite,Entire home/apt,6,1,1,3,Real Bed,2,278,92.0,10.0,10.0,10.0,10.0,9.0,9.0,167.0
f,moderate,f,1,Outer Mission,37.72476,-122.43951,House,Entire home/apt,6,2,3,4,Real Bed,30,63,99.0,10.0,10.0,10.0,10.0,9.0,10.0,295.0
t,strict_14_with_grace_period,t,1,Mission,37.75102,-122.41193,House,Private room,2,1,1,1,Real Bed,1,145,98.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
t,strict_14_with_grace_period,f,2,Noe Valley,37.75078,-122.43126,Apartment,Entire home/apt,5,1,2,3,Real Bed,30,24,98.0,10.0,10.0,10.0,10.0,10.0,10.0,170.0
f,moderate,t,1,Western Addition,37.77366,-122.43091,Apartment,Entire home/apt,4,1,2,2,Real Bed,30,22,92.0,10.0,10.0,9.0,9.0,10.0,10.0,249.0
f,moderate,f,2,Bayview,37.73853,-0.0012239,House,Entire home/apt,4,1,2,2,Real Bed,31,59,97.0,10.0,10.0,9.0,10.0,10.0,10.0,445.0
t,strict_14_with_grace_period,f,2,Mission,37.74994,-122.41644,Apartment,Entire home/apt,4,2,2,2,Real Bed,3,22,98.0,10.0,9.0,10.0,10.0,9.0,9.0,300.0
f,flexible,f,1,Haight Ashbury,37.77595,-122.43971,Apartment,Private room,2,1,1,1,Real Bed,1,11,96.0,9.0,9.0,10.0,10.0,10.0,9.0,185.0
t,moderate,t,12,Outer Mission,37.72447,-122.44162,House,Entire home/apt,8,2,4,5,Real Bed,5,23,99.0,10.0,10.0,10.0,10.0,10.0,10.0,350.0
f,strict_14_with_grace_period,f,1,Marina,37.79952,-122.42821,Condominium,Entire home/apt,5,1,3,4,Real Bed,1,102,97.0,10.0,10.0,10.0,10.0,10.0,9.0,499.0
t,moderate,f,1,Outer Mission,37.72857,-122.45215,Apartment,Entire home/apt,4,1,2,3,Real Bed,3,242,99.0,10.0,10.0,10.0,10.0,9.0,10.0,150.0
t,moderate,f,1,Mission,37.76346,-1.22425,Apartment,Private room,2,1,1,1,Real Bed,2,316,99.0,10.0,10.0,10.0,10.0,10.0,10.0,145.0
f,moderate,f,1,Western Addition,37.77712,-122.44215,Apartment,Entire home/apt,2,1,1,1,Real Bed,2,23,98.0,10.0,10.0,10.0,10.0,10.0,9.0,250.0
f,strict_14_with_grace_period,f,2,Potrero Hill,37.76055,-122.40402,Apartment,Entire home/apt,4,1,2,2,Real Bed,2,137,93.0,9.0,10.0,10.0,10.0,10.0,9.0,250.0
f,moderate,f,1,Western Addition,37.77882,-122.44229,Apartment,Entire home/apt,4,1,2,2,Real Bed,30,57,97.0,10.0,10.0,10.0,10.0,10.0,10.0,149.0
t,moderate,t,2,Bernal Heights,37.74509,-122.41611,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,57,99.0,10.0,10.0,10.0,10.0,10.0,10.0,165.0
t,moderate,f,1,Pacific Heights,37.78779,-122.44393,Apartment,Entire home/apt,3,1,1,1,Real Bed,30,196,96.0,10.0,10.0,10.0,10.0,10.0,10.0,210.0
t,moderate,f,1,Bernal Heights,37.74693,-122.41684,Apartment,Private room,2,1,1,1,Real Bed,1,120,99.0,10.0,10.0,10.0,10.0,10.0,10.0,119.0
f,moderate,f,2,Nob Hill,37.79589,-122.41145,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,24,98.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0
f,moderate,f,1,Western Addition,37.77281,-122.43174,House,Entire home/apt,2,1,1,0,Real Bed,30,103,94.0,10.0,10.0,10.0,10.0,9.0,9.0,235.0
f,flexible,f,7,Haight Ashbury,3.77697,-122.44483,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,6,87.0,10.0,9.0,9.0,9.0,9.0,8.0,148.0
t,moderate,f,1,Castro/Upper Market,37.75767,-122.42812,House,Entire home/apt,4,1,2,2,Real Bed,3,72,99.0,10.0,10.0,10.0,10.0,10.0,10.0,395.0
f,strict_14_with_grace_period,f,6,South of Market,37.77223,-122.41942,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,35,96.0,10.0,10.0,10.0,10.0,10.0,9.0,130.0
f,moderate,f,6,Western Addition,37.78036,-12.24241,Apartment,Entire home/apt,2,1,0,1,Real Bed,30,30,97.0,10.0,9.0,10.0,10.0,10.0,9.0,100.0
t,moderate,f,1,Mission,37.75242,-122.41957,Guest suite,Entire home/apt,3,1,1,2,Real Bed,5,133,97.0,10.0,10.0,10.0,10.0,10.0,10.0,199.0
f,flexible,f,1,Outer Richmond,37.77373,-122.49964,Guest suite,Entire home/apt,8,1,2,6,Real Bed,2,331,94.0,10.0,9.0,10.0,10.0,9.0,9.0,145.0
f,moderate,f,1,South of Market,37.77384,-122.41909,Condominium,Entire home/apt,4,2,2,3,Real Bed,30,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0
t,flexible,t,1,Potrero Hill,37.75858,-122.40152,Guest suite,Entire home/apt,2,1,0,1,Real Bed,31,412,94.0,10.0,10.0,10.0,10.0,10.0,9.0,209.0
f,moderate,f,1,Bernal Heights,37.73751,-122.41329,House,Entire home/apt,6,2,3,3,Real Bed,4,5,100.0,10.0,9.0,9.0,10.0,9.0,10.0,485.0
t,moderate,f,1,Mission,37.76663,-12.24202,Apartment,Entire home/apt,4,1,2,2,Real Bed,30,127,98.0,10.0,10.0,10.0,10.0,10.0,9.0,395.0
f,strict_14_with_grace_period,f,1,Mission,37.75796,-122.41903,Condominium,Entire home/apt,4,1,2,2,Real Bed,6,75,95.0,10.0,9.0,10.0,10.0,10.0,9.0,180.0
t,flexible,f,1,Castro/Upper Market,37.75909,-122.42895,House,Entire home/apt,2,1,1,1,Real Bed,30,38,100.0,10.0,10.0,10.0,10.0,10.0,10.0,120.0
f,flexible,f,1,Bernal Heights,37.74387,-122.42338,Apartment,Entire home/apt,4,2,3,2,Real Bed,30,10,98.0,10.0,10.0,10.0,10.0,10.0,10.0,350.0
f,strict_14_with_grace_period,f,1,South of Market,3.77803,-122.40374,Apartment,Entire home/apt,2,1,0,1,Real Bed,30,12,100.0,10.0,10.0,10.0,10.0,10.0,9.0,125.0
t,strict_14_with_grace_period,f,1,South of Market,37.77331,-122.41261,Apartment,Entire home/apt,2,1,1,1,Real Bed,2,86,99.0,10.0,10.0,10.0,10.0,10.0,9.0,225.0
f,strict_14_with_grace_period,f,1,Western Addition,37.77015,-122.42929,Condominium,Entire home/apt,2,1,1,1,Real Bed,7,34,99.0,10.0,10.0,10.0,10.0,10.0,10.0,220.0
t,moderate,f,1,Marina,37.79715,-122.42958,Apartment,Private room,2,1,1,2,Real Bed,4,77,99.0,10.0,10.0,10.0,10.0,10.0,10.0,95.0
t,moderate,f,1,Haight Ashbury,37.76551,-122.44946,Apartment,Private room,1,1,1,1,Real Bed,2,132,95.0,10.0,9.0,10.0,10.0,10.0,10.0,89.0
f,strict_14_with_grace_period,f,6,Western Addition,37.77629,-122.42621,Apartment,Entire home/apt,2,1,0,1,Real Bed,30,40,93.0,9.0,9.0,10.0,10.0,9.0,9.0,100.0
t,strict_14_with_grace_period,f,68,Downtown/Civic Center,37.78759,-122.40905,Hotel,Private room,4,1,0,2,Real Bed,2,55,96.0,10.0,10.0,10.0,10.0,10.0,10.0,169.0
t,moderate,f,2,Western Addition,37.78045,-122.44541,House,Private room,2,1,1,1,Real Bed,1,74,99.0,10.0,10.0,10.0,10.0,10.0,10.0,185.0
t,moderate,f,2,Western Addition,37.78009,-122.43865,House,Private room,2,1,1,2,Real Bed,2,189,97.0,10.0,10.0,10.0,10.0,10.0,9.0,99.0
t,strict_14_with_grace_period,t,4,Outer Sunset,37.75578,-122.49834,House,Private room,2,1,1,1,Real Bed,1,126,95.0,10.0,10.0,10.0,10.0,10.0,10.0,85.0
t,moderate,f,2,Western Addition,37.78763,-122.43946,House,Private room,2,1,1,1,Real Bed,2,46,100.0,10.0,10.0,10.0,10.0,10.0,10.0,195.0
t,strict_14_with_grace_period,f,68,Downtown/Civic Center,37.78778,-122.40983,Hotel,Private room,4,1,0,2,Real Bed,1,69,95.0,10.0,10.0,10.0,10.0,10.0,9.0,175.0
f,moderate,f,1,Mission,37.75017,-122.42487,Guest suite,Entire home/apt,2,1,0,1,Real Bed,3,125,96.0,10.0,10.0,10.0,10.0,10.0,10.0,200.0
f,flexible,t,1,Mission,37.75942,-122.40754,House,Private room,2,1,1,1,Real Bed,3,202,98.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0
t,strict_14_with_grace_period,f,68,Downtown/Civic Center,37.78776,-122.40979,Hotel,Private room,4,1,0,2,Real Bed,2,48,98.0,10.0,10.0,10.0,10.0,10.0,10.0,169.0
t,strict_14_with_grace_period,t,4,Nob Hill,37.79673,-122.41191,Apartment,Private room,2,1,1,1,Real Bed,30,39,95.0,10.0,9.0,10.0,10.0,10.0,9.0,166.0
f,strict_14_with_grace_period,f,1,South of Market,37.77958,-122.39743,Apartment,Entire home/apt,4,1,1,2,Real Bed,30,23,99.0,10.0,10.0,10.0,10.0,10.0,9.0,200.0
t,strict_14_with_grace_period,f,68,Downtown/Civic Center,37.78915,-122.40962,Hotel,Private room,4,1,0,2,Real Bed,1,55,98.0,10.0,10.0,10.0,10.0,10.0,10.0,169.0
t,moderate,f,1,Nob Hill,37.79533,-122.41317,Condominium,Entire home/apt,2,1,1,1,Real Bed,2,56,98.0,10.0,10.0,10.0,10.0,10.0,10.0,218.0
f,moderate,f,1,Excelsior,37.73101,-12.24229,Apartment,Entire home/apt,1,1,1,1,Real Bed,3,47,93.0,10.0,9.0,10.0,10.0,9.0,9.0,139.0
f,moderate,f,4,Excelsior,37.72571,-122.41814,House,Private room,2,1,1,1,Airbed,1,180,81.0,9.0,8.0,10.0,9.0,9.0,8.0,65.0
f,moderate,f,4,Excelsior,37.72545,-122.41889,House,Private room,2,1,1,1,Real Bed,1,98,89.0,10.0,9.0,10.0,10.0,9.0,9.0,61.0
t,moderate,f,1,Haight Ashbury,37.77015,-122.45353,Apartment,Private room,1,1,1,1,Real Bed,2,72,98.0,10.0,10.0,10.0,10.0,10.0,10.0,139.0
f,strict_14_with_grace_period,f,1,South of Market,37.77424,-122.41059,Loft,Entire home/apt,4,2,2,2,Real Bed,30,39,96.0,10.0,10.0,10.0,10.0,9.0,9.0,290.0
t,strict_14_with_grace_period,t,2,West of Twin Peaks,37.73932,-122.46211,Guest suite,Entire home/apt,4,1,2,3,Real Bed,3,64,97.0,10.0,10.0,10.0,10.0,10.0,10.0,225.0
f,moderate,f,1,Ocean View,37.71574,-122.46486,Townhouse,Private room,1,1,1,1,Real Bed,30,8,88.0,9.0,9.0,10.0,10.0,8.0,9.0,29.0
t,moderate,f,2,Western Addition,37.78482,-122.44136,Apartment,Private room,3,1,1,2,Real Bed,2,40,99.0,10.0,10.0,10.0,10.0,10.0,10.0,240.0
t,moderate,f,1,Outer Richmond,0.0003778,-122.48253,Guest suite,Entire home/apt,2,1,1,1,Real Bed,3,167,98.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0
t,strict_14_with_grace_period,f,4,Twin Peaks,37.74846,-12.24448,Apartment,Entire home/apt,4,2,2,3,Real Bed,30,0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,216.0
t,moderate,t,1,Excelsior,37.72662,-122.41934,House,Entire home/apt,7,1,3,4,Real Bed,1,87,93.0,10.0,9.0,10.0,10.0,9.0,9.0,340.0
f,flexible,f,7,Castro/Upper Market,3.77586,-122.44305,Apartment,Entire home/apt,2,1,0,1,Real Bed,30,2,100.0,8.0,10.0,10.0,9.0,9.0,10.0,141.0
f,moderate,f,4,Western Addition,37.78277,-122.44313,Apartment,Entire home/apt,4,1,1,2,Real Bed,30,89,94.0,10.0,9.0,10.0,10.0,9.0,9.0,175.0
f,strict_14_with_grace_period,f,1,Marina,3.78028,-122.44078,Condominium,Entire home/apt,2,1,1,1,Real Bed,4,10,98.0,10.0,9.0,10.0,10.0,10.0,9.0,330.0
t,strict_14_with_grace_period,f,68,Downtown/Civic Center,3.77884,-122.40931,Hotel,Private room,4,1,0,2,Real Bed,1,45,98.0,10.0,10.0,10.0,10.0,10.0,10.0,179.0
f,flexible,t,3,Inner Richmond,37.78455,-12.24752,Apartment,Entire home/apt,6,1,2,3,Real Bed,1,62,98.0,10.0,10.0,10.0,10.0,10.0,10.0,190.0
f,strict_14_with_grace_period,f,6,Western Addition,37.77669,-122.43661,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,83,87.0,9.0,9.0,10.0,10.0,10.0,9.0,155.0
f,strict_14_with_grace_period,f,6,Western Addition,37.77722,-122.43656,Condominium,Entire home/apt,8,2,4,5,Real Bed,30,126,92.0,9.0,9.0,10.0,10.0,10.0,9.0,1000.0
t,strict_14_with_grace_period,f,2,Haight Ashbury,37.77112,-122.45114,House,Entire home/apt,4,2,4,4,Real Bed,4,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,699.0
f,moderate,f,1,Mission,37.75154,-122.42038,House,Private room,2,2,1,1,Real Bed,2,176,95.0,10.0,10.0,10.0,10.0,10.0,10.0,115.0
f,strict_14_with_grace_period,f,3,Bernal Heights,37.74556,-122.41503,Apartment,Private room,1,1,1,1,Real Bed,59,0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,85.0
f,moderate,f,1,Haight Ashbury,37.76813,-122.44629,Apartment,Entire home/apt,4,1,2,2,Pull-out Sofa,2,21,100.0,10.0,10.0,10.0,10.0,10.0,9.0,418.0
t,moderate,f,1,Twin Peaks,3.77586,-122.45049,House,Entire home/apt,4,2,2,2,Real Bed,3,243,98.0,10.0,10.0,10.0,10.0,10.0,10.0,373.0
f,strict_14_with_grace_period,f,1,South of Market,37.78899,-122.38933,Apartment,Entire home/apt,4,2,2,2,Real Bed,30,26,97.0,10.0,10.0,10.0,10.0,10.0,9.0,325.0
t,strict_14_with_grace_period,f,1,Outer Sunset,37.74733,-122.48952,House,Entire home/apt,4,1,1,2,Real Bed,2,345,96.0,10.0,10.0,10.0,10.0,9.0,10.0,133.0
t,strict_14_with_grace_period,f,2,Western Addition,37.78629,-12.24331,House,Entire home/apt,8,3,4,4,Real Bed,6,5,88.0,10.0,8.0,10.0,10.0,10.0,9.0,750.0
t,strict_14_with_grace_period,f,2,Mission,37.75725,-122.41004,Apartment,Entire home/apt,4,2,2,2,Real Bed,4,17,100.0,10.0,10.0,10.0,10.0,10.0,10.0,290.0
t,moderate,t,2,Western Addition,37.77358,-122.42806,Apartment,Entire home/apt,5,1,1,1,Real Bed,1,408,97.0,10.0,10.0,10.0,10.0,10.0,10.0,180.0
t,strict_14_with_grace_period,f,1,Noe Valley,37.75538,-122.42655,Apartment,Entire home/apt,6,1,2,3,Real Bed,30,101,96.0,10.0,10.0,10.0,10.0,10.0,9.0,165.0
t,strict_14_with_grace_period,f,4,Haight Ashbury,37.77397,-122.44226,Apartment,Private room,2,1,1,1,Real Bed,1,108,99.0,10.0,10.0,10.0,10.0,10.0,10.0,90.0
f,strict_14_with_grace_period,f,1,Inner Sunset,37.75816,-122.46278,Apartment,Private room,1,1,1,1,Real Bed,30,9,96.0,10.0,9.0,10.0,10.0,10.0,9.0,60.0
f,moderate,f,1,Potrero Hill,3.77572,-12.23926,Townhouse,Private room,2,1,1,1,Real Bed,2,111,97.0,10.0,10.0,10.0,10.0,10.0,10.0,115.0
t,moderate,t,1,Bernal Heights,37.74077,-122.41134,Guest suite,Entire home/apt,2,1,1,1,Real Bed,2,82,98.0,10.0,10.0,10.0,10.0,10.0,10.0,155.0
f,strict_14_with_grace_period,f,4,Marina,37.80147,-122.43275,House,Entire home/apt,3,1,2,2,Real Bed,30,15,97.0,10.0,9.0,9.0,10.0,10.0,9.0,215.0
t,moderate,t,1,Potrero Hill,37.76492,-122.39722,Guest suite,Entire home/apt,2,1,1,1,Real Bed,2,181,96.0,10.0,10.0,10.0,10.0,10.0,10.0,215.0
f,strict_14_with_grace_period,f,1,Castro/Upper Market,3.77605,-122.44247,Apartment,Entire home/apt,3,1,0,2,Real Bed,30,26,99.0,10.0,10.0,10.0,10.0,10.0,9.0,150.0
t,moderate,f,1,Western Addition,37.77832,-122.43079,Apartment,Entire home/apt,2,1,1,1,Real Bed,2,77,98.0,10.0,10.0,10.0,10.0,10.0,10.0,175.0
f,moderate,f,2,Haight Ashbury,37.76357,-122.44581,Condominium,Entire home/apt,2,1,1,1,Real Bed,30,37,99.0,10.0,10.0,10.0,10.0,10.0,10.0,160.0
t,moderate,f,3,Western Addition,3.77796,-122.44199,Condominium,Private room,2,1,1,2,Real Bed,4,206,99.0,10.0,10.0,10.0,10.0,10.0,10.0,109.0
f,strict_14_with_grace_period,f,2,Mission,37.75565,-12.24241,Apartment,Entire home/apt,10,1,4,6,Real Bed,3,84,93.0,9.0,9.0,10.0,10.0,10.0,9.0,418.0
f,strict_14_with_grace_period,f,4,Castro/Upper Market,0.37757,-122.42688,House,Entire home/apt,11,3,5,0,Real Bed,5,8,93.0,10.0,10.0,10.0,10.0,10.0,9.0,1450.0
f,moderate,t,1,Outer Richmond,37.77499,-122.48907,Guest suite,Entire home/apt,4,1,1,2,Real Bed,1,62,93.0,10.0,10.0,10.0,10.0,9.0,9.0,133.0
f,moderate,f,1,Downtown/Civic Center,37.78569,-122.42127,Condominium,Entire home/apt,2,1,1,1,Real Bed,30,0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,225.0
t,strict_14_with_grace_period,f,2,Noe Valley,37.75288,-122.42817,Apartment,Private room,2,1,1,1,Real Bed,1,80,96.0,10.0,10.0,10.0,10.0,10.0,10.0,165.0
t,moderate,f,2,Mission,37.75008,-122.41841,Apartment,Private room,1,1,1,0,Real Bed,3,23,100.0,10.0,10.0,10.0,10.0,10.0,10.0,170.0
